,Make,Model,Body style,Year,Car location,Mileage,Transmission,Steering wheel,State,Color,Engine,Engine volume,Interior color,Doors,Power,Wheels,Drive,Cylinders,VIN Code
126,Toyota,Camry,Sedan,2016,"Armenia, Երևան",178000 km,Automatic,Left,Excellent,Black,Petrol,2.5,Black,4,,"17""",Front,1,
127,Chevrolet,Malibu,Sedan,2017,"Georgia, საქართველოს",104700 km,Automatic,Left,Excellent,White,,,,,,,,,
128,Mercedes-Benz,C 180,Sedan,1998,"Armenia, Վանաձոր",340000 km,Automatic,Left,Excellent,Green,,,,,,,,,
129,VAZ(Lada),2107,Sedan,2011,"Armenia, Վայք",36000 km,Manual,Left,Good,White,,,,,,,,,
130,Toyota,Camry,Sedan,2016,"Armenia, Երևան",182000 km,Automatic,Left,Excellent,Other color,Gas,2.5,Black,4,,"18""",Front,,
131,Ford,Օther,Pickup,2016,"Armenia, Yerevan",7700 km,Manual,Left,Excellent,Black,Petrol,2.5,Black,4,170,"16""",Rear,4,
132,GMC,Terrain,SUV,2012,"Armenia, Երևան",98000 km,Automatic,Left,Good,White,,,,,,,,,
133,Volkswagen,Օther,SUV,2022,"Armenia, Երևան",0 km,Automatic,Left,Excellent,White,,,,,,,,,
134,Lexus,ES 350,Sedan,2016,"Armenia, Երևան",65000 km,Automatic,Left,Excellent,Black,,,,,,,Front,,
135,Mazda,CX5,SUV,2018,"Armenia, Երևան",32200 mile,Automatic,Left,Excellent,Black,,,,,,,,,
136,Kia,Optima,Sedan,2016,"Armenia, Երևան",57000 mile,Automatic,Left,Excellent,Gray,,,,,,,,,
137,Opel,Zafira,Wagon,2003,"Armenia, Աշտարակ",230000 km,Manual,Left,Excellent,Silver,Petrol,,,5,101,"15""",,,
138,Mercedes-Benz,320,Sedan,2002,"Armenia, Երևան",2002 km,Automatic,Left,Good,Silver,,,,,,,,,
139,Mercedes-Benz,E 200,Sedan,1998,"Armenia, Երևան",450000 km,Manual,Left,Normal,Silver,Gas,2,Gray,4,136,"16""",Rear,4,
140,Toyota,Rav 4,SUV,2019,"Georgia, Georgia",54000 mile,Automatic,Left,Excellent,Black,,,,,,,,,
141,Ford,Expedition,SUV,1998,"Armenia, Երևան",160000 km,Automatic,Left,Excellent,Green,,,,,,,,,
